,Investors,Primary Investor Type,Other Investor Types,# of Investment Professionals,HQ State/Province,HQ Country/Territory,HQ Global Region,HQ Global Sub Region,Investor Status,Last Updated Date,Ownership Status,Company Financing Status,Primary Industry Sector,Primary Industry Group,Primary Industry Code,All Industries,Verticals,Keywords,SIC Code Descriptions,SIC Group Descriptions,SIC Sector Descriptions,Revenue,Total Assets,Net Income,Enterprise Value,EBITDA,EBIT,Market Cap,Net Debt,Free Cash Flow,Investments,Exits,Active Portfolio,Investments in the last 7 days,Investments in the last 6 months,Investments in the last 12 months,Investments in the last 2 years,Investments in the last 5 years,Total Investments,Total Exits,Total Active Portfolio,Total Investments in the last 7 days,Total Investments in the last 6 months,Total Investments in the last 12 months,Total Investments in the last 2 years,Total Investments in the last 5 years,Last Investment Date,Last Investment Size,Last Investment Size Status,Last Investment Valuation,Last Investment Valuation Status,Last Investment Type,Last Investment Type 2,Last Investment Type 3,Last Investment Class,Last Investment Debt,Last Investment Debt Size,Last Investment Debt Date,Last Investment Status,AUM,Dry Powder,Trade Association,Total # of Hedge Funds,Total # of Credit,Total # of Equity,Total # of Macro,Total # of Event Driven,Total # of Relative Value,Total # of Risk Parity,Total # of Risk Premia,Total # of Fund of Funds,Total # of Other,Total Hedge Fund NAV,Total NAV Credit,Total NAV Equity,Total NAV Macro,Total NAV Event Driven,Total NAV Relative Value,Total NAV Risk Parity,Total NAV Risk Premia,Total NAV Fund of Funds,Total NAV Other,# Funds Open,# Funds Closed,# Funds Closed in the last 6 months,# Funds Closed in the last 12 months,# Funds Closed in the last 2 years,# Funds Closed in the last 5 years,Most Likely Fundraising,Min Fund Size,Max Fund Size,Median Fund Size,Total Funds Open,Total Funds Closed,Total Funds Closed in the last 6 months,Total Funds Closed in the last 12 months,Total Funds Closed in the last 2 years,Total Funds Closed in the last 5 years,Last Closed Fund Vintage,Last Closed Fund Size,Last Closed Fund Type,Last Closed Fund Close Date,Last Closed Fund Open Date,Preferred Industry,Preferred Verticals,Preferred Geography,Preferred Investment Types,Real Asset Preferences,Impact Category Preferences,Other Stated Preferences,Preferred Investment Amount,Preferred Investment Amount Min,Preferred Investment Amount Max,Preferred Deal Size,Preferred Deal Size Min,Preferred Deal Size Max,Preferred Company Valuation,Preferred Company Valuation Min,Preferred Company Valuation Max,Preferred EBITDA,Preferred EBITDA Min,Preferred EBITDA Max,Preferred EBIT,Preferred EBIT Min,Preferred EBIT Max,Preferred Revenue,Preferred Revenue Min,Preferred Revenue Max,Preferred Investment Horizon,Latest Note,Latest Note - Author,Median Quartile,Number of Funds,1 (Top Quartile),2 (Upper-Mid Quartile),3 (Lower-Mid Quartile),4 (Bottom Quartile),today,days_diff,Last Investment Delta,Last Investment Size filled,Recency Score,Frequency Score,Monetary Score,RFM Score,Segment,Recency,Frequency,Monetary
674,Investor 675,Venture Capital,,3.0,New Jersey,United States,Americas,North America,,5-Jun-23,,,,,,,,,,,,,,,,,,,,,13,3.0,11.0,,,1.0,8.0,11,13,3.0,11.0,,,1.0,8.0,11,20-Apr-22,5.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,20-Apr-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,458 days,458,5.0,2,3,3,233,At Risk,458,13,5.0
675,Investor 676,Hedge Fund,,2.0,California,United States,Americas,North America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,1.0,1.0,1,1,,1.0,,,1.0,1.0,1,2-Jun-21,6.15,Actual,50.51,Actual,Later Stage VC,,,Venture Capital,Other - $0.99M,0.99,2-Jun-21,Completed,4844.25,,,2.0,,2.0,,,,,,,,575.01,,575.01,,,,,,,,1.0,1.0,,,,,Yes,,,,1.0,1.0,,,,,,,,,,,,,"Later Stage VC, PE Growth/Expansion",,,Prefers minority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,780 days,780,6.15,1,1,3,113,Hibernating,780,1,6.15
676,Investor 677,Angel (individual),,,Western Cape,South Africa,Africa,Southern Africa,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,11,,11.0,,1.0,1.0,7.0,11,11,,11.0,,1.0,1.0,7.0,11,15-Nov-21,3.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,15-Nov-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Software,TMT,,"Accelerator/Incubator, Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,614 days,614,3.0,2,3,2,232,At Risk,614,11,3.0
677,Investor 678,Angel (individual),,,Texas,United States,Americas,North America,Actively Seeking New Investments,27-Jan-23,,,,,,,,,,,,,,,,,,,,,10,2.0,8.0,,,2.0,6.0,7,10,2.0,8.0,,,2.0,6.0,7,25-Jan-22,50.0,Actual,,,Later Stage VC,Series A,,Venture Capital,Loan,,25-Jan-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Other Financial Services, Software","Cryptocurrency/Blockchain, FinTech, TMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,543 days,543,50.0,2,3,5,235,At Risk,543,10,50.0
678,Investor 679,Angel (individual),,,England,United Kingdom,Europe,Western Europe,,7-May-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,30-May-23,5.67,Actual,15.67,Actual,Seed Round,Seed Round,,Venture Capital,,,30-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,53 days,53,5.67,5,1,3,513,New Investors,53,1,5.67
679,Investor 680,Angel (individual),,,,,,,,31-Mar-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,16-Nov-22,6.3,Actual,,,Seed Round,Seed Round,,Venture Capital,,,16-Nov-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Merger/Acquisition,,,Prefers majority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,248 days,248,6.3,3,1,3,313,About to Sleep,248,1,6.3
680,Investor 681,Venture Capital,,1.0,,,,,,15-Jun-23,,,,,,,,,,,,,,,,,,,,,4,,4.0,,,,3.0,4,4,,4.0,,,,3.0,4,9-Mar-23,7.46,Actual,,,Early Stage VC,,,Venture Capital,,,9-Mar-23,Completed,11.6,6.7,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,No,11.6,11.6,11.6,,1.0,,,1.0,1.0,,,,,,Software,SaaS,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,135 days,135,7.46,4,2,4,424,Potential Loyalists,135,4,7.46
681,Investor 682,Venture Capital,,4.0,Ortak̦y,Turkey,Middle East,Middle East,Actively Seeking New Investments,2-Mar-23,,,,,,,,,,,,,,,,,,,,,3,,3.0,,1.0,2.0,3.0,3,3,,3.0,,1.0,2.0,3.0,3,1-Mar-20,8.0,Estimated,13.0,Actual,Later Stage VC,,,Venture Capital,,,1-Mar-20,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2018.0,,Venture - General,31-Dec-18,18-Jan-18,"Energy Equipment, Energy Services, Insurance, Retail, Software","CleanTech, E-Commerce, FinTech, FoodTech, Impact Investing, Internet of Things, LOHAS & Wellness, Mobile, Real Estate Technology, SaaS, TMT","Africa, Caucasus, Central America, Central Asia, East Asia, Europe, Middle East, South America, South Asia, Southeast Asia",Accelerator/Incubator,,,,0.05 - 0.40,0.05,0.4,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,1238 days,1238,8.0,1,2,4,124,Hibernating,1238,3,8.0
682,Investor 683,Venture Capital,,4.0,,,,,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,5,,5.0,,,,1.0,5,5,,5.0,,,,1.0,5,31-Dec-20,0.73,Actual,10.72,Actual,Early Stage VC,Series A,,Venture Capital,,,31-Dec-20,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,933 days,933,0.73,1,2,1,121,Hibernating,933,5,0.73
683,Investor 684,Venture Capital,,,Kentucky,United States,Americas,North America,,31-May-23,,,,,,,,,,,,,,,,,,,,,8,5.0,3.0,,,,,1,8,5.0,3.0,,,,,1,2-Sep-22,50.59,Actual,151.77,Actual,Early Stage VC,Series B,,Venture Capital,,,2-Sep-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2020.0,220.0,Venture - General,31-Dec-21,6-Nov-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,323 days,323,50.59,3,3,5,335,Need Attention,323,8,50.59
684,Investor 685,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,29-May-23,,,,,,,,,,,,,,,,,,,,,41,2.0,37.0,1.0,3.0,9.0,20.0,37,41,2.0,37.0,1.0,3.0,9.0,20.0,37,19-Apr-23,15.0,Actual,48.53,Actual,Early Stage VC,Series A,,Venture Capital,Other - $1.47M,1.47,19-Apr-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Apparel and Accessories, Consumer Durables, Healthcare, Software","Digital Health, E-Commerce, FoodTech, HealthTech, Internet of Things, LOHAS & Wellness, SaaS, TMT",,"Early Stage VC, Later Stage VC, PE Growth/Expansion, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,94 days,94,15.0,5,4,4,544,Champions,94,41,15.0
685,Investor 686,Venture Capital,,7.0,California,United States,Americas,North America,Actively Seeking New Investments,7-Nov-22,,,,,,,,,,,,,,,,,,,,,130,54.0,38.0,,2.0,5.0,29.0,53,130,54.0,38.0,,2.0,5.0,29.0,53,5-May-22,4.0,Estimated,,,Seed Round,Seed Round,,Venture Capital,,,5-May-22,Completed,16000.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,No,,,,,1.0,,,1.0,1.0,,,,,,Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,443 days,443,4.0,2,5,3,253,Can't Lose,443,130,4.0
686,Investor 687,Angel (individual),,1.0,,,,,,7-Jun-23,,,,,,,,,,,,,,,,,,,,,11,2.0,9.0,,,1.0,4.0,8,11,2.0,9.0,,,1.0,4.0,8,24-May-22,6.3,Actual,,,Early Stage VC,,,Venture Capital,,,24-May-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2022.0,36.78,Fund of Funds,31-Dec-22,1-Feb-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,424 days,424,6.3,2,3,3,233,At Risk,424,11,6.3
687,Investor 688,Accelerator/Incubator,Venture Capital,2.0,,Germany,Europe,Western Europe,,9-Jun-23,,,,,,,,,,,,,,,,,,,,,8,,8.0,,,,,3,8,,8.0,,,,,3,8-Feb-22,17.1,Actual,,,Early Stage VC,Series A,,Venture Capital,,,8-Feb-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,"IT Services, Software","SaaS, TMT",,"Early Stage VC, Later Stage VC, Seed Round",,Biodiversity & Ecosystems,"Prefers minority stake, Seeks Impact investments, Will syndicate",0.50 - 2.00,0.5,2.0,,,,,,,,,,,,,,,,2.00 - 3.00,,,,,,,,,2023-07-22,529 days,529,17.1,2,3,4,234,At Risk,529,8,17.1
688,Investor 689,Angel (individual),,,,Luxembourg,Europe,Western Europe,,9-Jun-23,,,,,,,,,,,,,,,,,,,,,18,,18.0,,3.0,5.0,16.0,18,18,,18.0,,3.0,5.0,16.0,18,6-Jun-23,3.89,Actual,,,Seed Round,Seed Round,,,,,6-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Business Products and Services (B2B), Consumer Products and Services (B2C), Healthcare, Information Technology, Insurance","B2B Payments, E-Commerce, FinTech, InsurTech, Mobile Commerce, SaaS",South Asia,"Early Stage VC, Later Stage VC, Seed Round",,,Prefers minority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,46 days,46,3.89,5,4,3,543,Champions,46,18,3.89
689,Investor 690,Angel (individual),,,California,United States,Americas,North America,,1-Jun-23,,,,,,,,,,,,,,,,,,,,,2,,2.0,,,,2.0,2,2,,2.0,,,,2.0,2,1-May-23,6.3,Actual,12.0,Actual,Seed Round,Seed Round,,Venture Capital,Bridge - $4.30M (Convertible),4.3,1-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2018.0,,Venture Capital - Early Stage,31-Dec-18,13-Mar-18,"Media and Information Services (B2B), Real Estate Services (B2C), Software","AdTech, B2B Payments, CloudTech & DevOps, Cybersecurity, FinTech, InsurTech, Marketing Tech, Mortgage Tech, SaaS","Canada, United States","Early Stage VC, Later Stage VC, Seed Round",,,"Long-Term Investor, Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,82 days,82,6.3,5,1,3,513,New Investors,82,2,6.3
690,Investor 691,Angel (individual),,,California,United States,Americas,North America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,8,1.0,7.0,,,,4.0,7,8,1.0,7.0,,,,4.0,7,22-Apr-20,12.9,Actual,32.9,Actual,Early Stage VC,Series A,,Venture Capital,,,22-Apr-20,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,Merger/Acquisition,,,Prefers majority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,1186 days,1186,12.9,1,3,4,134,At Risk,1186,8,12.9
691,Investor 692,Angel (individual),,,California,United States,Americas,North America,Actively Seeking New Investments,4-Apr-23,,,,,,,,,,,,,,,,,,,,,8,,7.0,,1.0,1.0,4.0,7,8,,7.0,,1.0,1.0,4.0,7,14-Jun-23,3.45,Actual,,,Later Stage VC,,,Venture Capital,,,14-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2020.0,100.0,Venture - General,11-Aug-20,10-May-19,,,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,38 days,38,3.45,5,3,3,533,Potential Loyalists,38,8,3.45
692,Investor 693,Angel (individual),,,,,,,,8-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,3-Jan-23,1.0,Actual,,,Early Stage VC,,,Venture Capital,,,3-Jan-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2023.0,1800.0,Credit Special Situations,1-Feb-23,15-Nov-21,"Services (Non-Financial), Software",EdTech,,Merger/Acquisition,,,Prefers majority stake,0.10 - 0.75,0.1,0.75,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,200 days,200,1.0,4,1,1,411,Promising,200,1,1.0
693,Investor 694,Accelerator/Incubator,Venture Capital,3.0,,,,,Actively Seeking New Investments,12-Jun-23,Privately Held (backing),Venture Capital-Backed,Information Technology,Software,Financial Software,"Financial Software*, Other Financial Services","Cryptocurrency/Blockchain, FinTech","crypto exchange, crypto settlement, crypto trading, cryptocurrency portal, crypto-market, decentralized autonomous organization",,,,,,,,,,,,,108,3.0,99.0,,10.0,33.0,78.0,102,108,3.0,99.0,,10.0,33.0,78.0,102,17-May-23,3.33,Actual,,,Seed Round,Seed Round,,Venture Capital,,,17-May-23,Completed,15.0,8.66,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,Yes,15.0,15.0,14.05,1.0,1.0,,,1.0,1.0,,,,,,"Commercial Services, Software","HR Tech, SaaS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,66 days,66,3.33,5,5,3,553,Champions,66,108,3.33
694,Investor 695,Angel (individual),,,,Cayman Islands,Americas,Central America,,14-Jun-23,,,,,,,,,,,,,,,,,,,,,29,11.0,18.0,,,,1.0,16,29,11.0,18.0,,,,1.0,16,8-Jun-23,50.5,Actual,325.0,Actual,Early Stage VC,Series B,,Venture Capital,,,8-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Operating Systems Software, Other Information Technology, Other Software",SaaS,,"Add-on, Buyout/LBO, Merger/Acquisition",,,Prefers majority stake,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,44 days,44,50.5,5,4,5,545,Champions,44,29,50.5
695,Investor 696,Venture Capital,,2.0,New York,United States,Americas,North America,,10-Apr-23,,,,,,,,,,,,,,,,,,,,,54,6.0,45.0,,,7.0,27.0,46,54,6.0,45.0,,,7.0,27.0,46,31-May-23,4.5,Actual,,,Seed Round,Seed Round,,Venture Capital,,,31-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,52 days,52,4.5,5,5,3,553,Champions,52,54,4.5
696,Investor 697,Angel Group,,,,,,,Actively Seeking New Investments,23-Dec-22,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,15-Jun-23,62.0,Actual,,,Later Stage VC,Series C,,Venture Capital,,,15-Jun-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2022.0,26.0,Venture - General,9-Sep-22,11-Jun-21,Software,TMT,,,,,,0.10 - 0.50,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,37 days,37,62.0,5,1,5,515,New Investors,37,1,62.0
697,Investor 698,Venture Capital,,6.0,Washington,United States,Americas,North America,,14-Jun-23,,,,,,,,,,,,6.24,0.7,,,0.89,0.83,,0.0,,78,7.0,42.0,1.0,1.0,6.0,16.0,47,78,7.0,42.0,1.0,1.0,6.0,16.0,47,15-Feb-23,5.0,Actual,18.0,Actual,Early Stage VC,Series A,,Venture Capital,,,15-Feb-23,Completed,300.0,24.44,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,Yes,150.0,150.0,150.0,,2.0,,,,1.0,,,,,,,,,,,,,0.10 - 1.00,0.1,1.0,,,,,,,,,,,,,0.00 - 5.00,0.0,5.0,,,,,,,,,,2023-07-22,157 days,157,5.0,4,5,3,453,Loyal Investors,157,78,5.0
698,Investor 699,Family Office,,,,,,,Actively Seeking New Investments,13-Jun-23,,,,,,,,,,,,,,,,,,,,,15,3.0,10.0,,,1.0,3.0,13,15,3.0,10.0,,,1.0,3.0,13,1-Oct-22,15.0,Actual,,,Early Stage VC,Series A,,Venture Capital,,,1-Oct-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,294 days,294,15.0,3,3,4,334,Need Attention,294,15,15.0
699,Investor 700,Venture Capital,,2.0,England,United Kingdom,Europe,Western Europe,Actively Seeking New Investments,31-May-23,,,,,,,,,,,,,,,,,,,,,29,2.0,22.0,,1.0,4.0,14.0,29,29,2.0,22.0,,1.0,4.0,14.0,29,12-Jul-22,23.89,Actual,38.31,Actual,Early Stage VC,Series A,,Venture Capital,,,12-Jul-22,Completed,28.0,10.78,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,No,28.0,28.0,28.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 (Lower-Mid Quartile),1.0,,,1.0,,2023-07-22,375 days,375,23.89,3,4,5,345,Loyal Investors,375,29,23.89
700,Investor 701,Venture Capital,,2.0,California,United States,Americas,North America,,5-Jun-23,,,,,,,,,,,,,,,,,,,,,38,2.0,33.0,,2.0,11.0,30.0,36,38,2.0,33.0,,2.0,11.0,30.0,36,1-Jun-22,,,,,Later Stage VC,,,Venture Capital,,,1-Jun-22,Completed,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,1.0,,,,,,2019.0,,Venture - General,1-Dec-20,1-Jan-18,"Consumer Durables, Software","Artificial Intelligence & Machine Learning, Big Data, E-Commerce, TMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,416 days,416,0.0,2,4,1,241,At Risk,416,38,0.0
701,Investor 702,Venture Capital,,,California,United States,Americas,North America,,13-Feb-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,,1,1,,1.0,,,,,1,28-Feb-23,37.79,Actual,151.35,Estimated,Later Stage VC,Series C,,Venture Capital,,,28-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,144 days,144,37.79,4,1,5,415,Promising,144,1,37.79
702,Investor 703,Investment Bank,"PE/Buyout, Real Estate",13.0,,,,,,13-Jun-23,Privately Held (backing),Corporate Backed or Acquired,Financial Services,Capital Markets/Institutions,Investment Banks,"Asset Management, Investment Banks*, Private Equity",,"investment banking service, investment management service, private equity",,,,,,,,,,,,,53,8.0,28.0,,,1.0,6.0,23,53,8.0,28.0,,,1.0,6.0,23,16-Dec-21,2.1,Actual,,,Seed Round,Seed Round,,Venture Capital,,,16-Dec-21,Completed,5000.0,5.6,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,Yes,15.0,57.0,27.5,,5.0,,,,,2021.0,10.0,Venture - General,16-Jun-21,3-Jun-21,"Business Products and Services (B2B), Consumer Products and Services (B2C), Information Technology","AdTech, Advanced Manufacturing, AgTech, Artificial Intelligence & Machine Learning, AudioTech, Augmented Reality, Autonomous cars, B2B Payments, Beauty, Big Data, CloudTech & DevOps, Cryptocurrency/Blockchain, Cybersecurity, E-Commerce, EdTech, FinTech, FoodTech, Gaming, HR Tech, Infrastructure, InsurTech, Internet of Things, LOHAS & Wellness, Manufacturing, Marketing Tech, Micro-Mobility, Mobile, Mobile Commerce, Mobility Tech, Pet Technology, Restaurant Technology, Ridesharing, Robotics and Drones, SaaS, Supply Chain Tech, TMT, Virtual Reality, Wearables & Quantified Self","China, Southeast Asia","Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,583 days,583,2.1,2,5,2,252,Can't Lose,583,53,2.1
703,Investor 704,Angel (individual),,,,Brazil,Americas,South America,Actively Seeking New Investments,1-Jun-23,,,,,,,,,,,,,,,,,,,,,4,1.0,3.0,,,,,4,4,1.0,3.0,,,,,4,14-Feb-23,3.0,Actual,,,Early Stage VC,,,Venture Capital,,,14-Feb-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Commercial Services, Software","Artificial Intelligence & Machine Learning, HR Tech, Industrials, TMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,158 days,158,3.0,4,2,2,422,Potential Loyalists,158,4,3.0
704,Investor 705,Hedge Fund,"Growth/Expansion, Venture Capital",6.0,Ohio,United States,Americas,North America,,5-May-23,,,,,,,,,,,,,,,,,,,,,239,74.0,110.0,,8.0,16.0,75.0,194,239,74.0,110.0,,8.0,16.0,75.0,194,23-Feb-22,4.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,23-Feb-22,Completed,2705.55,76.08,,2.0,,2.0,,,,,,,,,,,,,,,,,,3.0,1.0,,,,1.0,Yes,179.37,179.37,179.37,3.0,1.0,,,,1.0,,,,,,Software,"Mobile, TMT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,514 days,514,4.0,2,5,3,253,Can't Lose,514,239,4.0
705,Investor 706,Angel (individual),,,New York,United States,Americas,North America,Actively Seeking New Investments,14-Jun-23,,,,,,,,,,,,,,,,,,,,,6,,6.0,,3.0,4.0,5.0,6,6,,6.0,,3.0,4.0,5.0,6,24-May-23,44.0,Actual,,,Seed Round,Seed Round,,Venture Capital,,,24-May-23,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,2017.0,100.0,Venture Capital - Early Stage,3-Aug-17,,Business Products and Services (B2B),TMT,,"Early Stage VC, Later Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,59 days,59,44.0,5,2,5,525,Potential Loyalists,59,6,44.0
706,Investor 707,Angel (individual),,,,,,,Out of Business,15-Jun-23,,,,,,,,,,,,,,,,,,,,,10,1.0,8.0,,,1.0,4.0,9,10,1.0,8.0,,,1.0,4.0,9,14-Jul-20,45.0,Actual,445.0,Actual,Later Stage VC,Series D,,Venture Capital,,,14-Jul-20,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,"Commercial Services, Services (Non-Financial), Software",TMT,United States,"Early Stage VC, Later Stage VC, PE Growth/Expansion, PIPE, Seed Round",,,"Prefers minority stake, Will syndicate",0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,1103 days,1103,45.0,1,3,5,135,At Risk,1103,10,45.0
707,Investor 708,Accelerator/Incubator,"Asset Manager, Impact Investing, Venture Capital",88.0,Uttar Pradesh,India,Asia,South Asia,,14-Jun-23,Privately Held (backing),Venture Capital-Backed,Financial Services,Capital Markets/Institutions,Private Equity,Private Equity*,,"acceleration program, accelerator firm, entrepreneurship, incubation program, mentorship program, seeds funding, startup accelerator",,,,,,,,,,,,,5643,1146.0,3069.0,,371.0,891.0,1797.0,3537,5643,1146.0,3069.0,,371.0,891.0,1797.0,3537,27-Jun-22,7.0,Actual,23.0,Actual,Seed Round,Seed Round,,Venture Capital,,,27-Jun-22,Completed,1000.0,194.07,National Venture Capital Association,,,,,,,,,,,,,,,,,,,,,10.0,29.0,,,3.0,6.0,Yes,0.13,265.0,10.5,10.0,29.0,,,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,390 days,390,7.0,3,5,3,353,Loyal Investors,390,5643,7.0
708,Investor 709,Angel (individual),,,,France,Europe,Western Europe,,12-Jun-23,,,,,,,,,,,,,,,,,,,,,1,,1.0,,,,1.0,1,1,,1.0,,,,1.0,1,1-May-21,0.63,Actual,4.4,Actual,Seed Round,Seed Round,,Venture Capital,,,1-May-21,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Information Technology,"Cryptocurrency/Blockchain, TMT",,"Early Stage VC, Seed Round",,,"Prefers minority stake, Will syndicate",,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07-22,812 days,812,0.63,1,1,1,111,Hibernating,812,1,0.63
